id	category	brand	name	imageState	overlayHit	imageUrl
schiit-modius-e	dac	Schiit	Modius E	absent	URL	
smsl-do300	dac	SMSL	DO300	commented-todo	URL	
topping-d70-pro-sabre	dac	Topping	D70 Pro SABRE	commented-todo	URL	
gustard-x16	dac	Gustard	X16	absent	URL	
denafrips-enyo-15th	dac	Denafrips	Enyo 15th	catalog-url	URL	https://static.wixstatic.com/media/2351c0_2a7299db962b4c6ca243bdcdbe3c71fa~mv2.jpg/v1/crop/x_3,y_29,w_1164,h_599/fill/w_1096,h_564,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/2351c0_2a7299db962b4c6ca243bdcdbe3c71fa~mv2.jpg
denafrips-ares-15th	dac	Denafrips	Ares 15th	catalog-url	URL	https://www.denafrips.com/_files/ugd/d1b21d_2cb41c4b40ac4987aa8bbb2de1c06a3b~mv2.jpg
schiit-bifrost-2-64	dac	Schiit	Bifrost 2/64	catalog-url	URL	https://www.schiit.com/public/upload/images/bifrost%202%20black%201920.jpg
topping-d90se	dac	Topping	D90SE	absent	URL	
mhdt-orchid	dac	MHDT	Orchid	absent	URL	
goldmund-srda	dac	Goldmund	SRDA DAC	absent		
eversolo-dac-z8	dac	Eversolo	DAC-Z8	absent	URL	
rme-adi-2-dac-fs	dac	RME	ADI-2 DAC FS	absent	URL	
chord-hugo	dac	Chord	Hugo	commented-todo	URL	
chord-hugo-tt2	dac	Chord	Hugo TT2	commented-todo	URL	
chord-qutest	dac	Chord	Qutest	catalog-url	URL	https://chordelectronics.co.uk/wp-content/uploads/2018/01/Qutest-Front-1-900x675.jpg
denafrips-pontus-ii-12th-1	dac	Denafrips	Pontus II 12th-1	catalog-url	URL	https://static.wixstatic.com/media/d94477_67b3d20582784f36ab923d03ffd83ecd~mv2.jpg/v1/crop/x_0,y_93,w_3250,h_1758/fill/w_1960,h_1060,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/%E6%9C%AA%E6%A0%87%E9%A2%98-1.jpg
gustard-r26	dac	Gustard	R26	absent	URL	
eversolo-dmp-a6	streamer	Eversolo	DMP-A6	catalog-url	URL	https://www.eversolo.com/Uploads/product/6cb5caed67cf28b5c195403532c92ec0.jpg
wiim-pro	streamer	WiiM	Pro	absent	URL	
wiim-ultra	streamer	WiiM	Ultra	absent	URL	
topping-d90	dac	Topping	D90	absent	URL	
smsl-su-9	dac	SMSL	SU-9	absent	URL	
gustard-x26-pro	dac	Gustard	X26 Pro	absent	URL	
laiv-harmony-dac	dac	LAiV	Harmony DAC	absent	URL	
audalytic-dr70	dac	Audalytic	DR70	absent	URL	
fiio-k9-pro	dac	FiiO	K9 Pro	absent	URL	
hifiman-ef400	dac	HiFiMAN	EF400	absent	URL	
merason-frerot	dac	Merason	Frérot	absent	URL	
holo-cyan-2	dac	Holo Audio	Cyan 2	absent	URL	
weiss-dac204	dac	Weiss	DAC204	absent	URL	
holo-spring-3	dac	Holo Audio	Spring 3	absent	URL	
sonnet-morpheus	dac	Sonnet Digital Audio	Morpheus	absent	URL	
denafrips-terminator-ii	dac	Denafrips	Terminator II	catalog-url	URL	https://www.denafrips.com/_files/ugd/d1b21d_b5deb62d43e84d9f8ea7cbf53bab8fd5~mv2.jpg
rockna-wavelight	dac	Rockna	Wavelight	absent	URL	
totaldac-d1-twelve-mk2	dac	TotalDAC	d1-twelve MK2	absent		
holo-may-kte	dac	Holo Audio	May (KTE)	absent	URL	
laiv-harmony	dac	LAiV	Harmony	absent	URL	
dcs-bartok	dac	dCS	Bartók	absent	URL	
auralic-vega	dac	Auralic	Vega	absent	URL	
oppo-opdv971h	dac	Oppo	OPDV971H	absent		
denafrips-venus-ii	dac	Denafrips	Venus II	absent	URL	
bluesound-node	streamer	Bluesound	Node	absent	URL	
innuos-zen-mk3	streamer	Innuos	Zen Mk3	absent	URL	
innuos-pulse-mini	streamer	Innuos	Pulse Mini	absent	URL	
chord-dave	dac	Chord	DAVE	catalog-url	URL	https://chordelectronics.co.uk/wp-content/uploads/2018/09/DAVE-1.jpg
mola-mola-tambaqui	dac	Mola Mola	Tambaqui	absent	URL	
lampizator-baltic-5	dac	Lampizator	Baltic 5	absent	URL	
sonnet-pasithea	dac	Sonnet	Pasithea	absent	URL	
totaldac-d1-unity	dac	TotalDAC	d1-unity	absent	URL	
ifi-zen-dac-v2	dac	iFi	Zen DAC V2	absent	URL	
musical-fidelity-v90-dac	dac	Musical Fidelity	V90-DAC	absent	URL	
schiit-modi-multibit	dac	Schiit	Modi Multibit	absent	URL	
cengrand-dsdac-1-0-deluxe	dac	Cen.Grand	DSDAC 1.0 Deluxe	absent	URL	
wiim-ultra	dac	WiiM	Ultra	absent	URL	
fiio-k11-r2r	dac	FiiO	K11 R2R	absent	URL	
bluesound-node-x	dac	Bluesound	NODE X	absent	URL	
wlm-diva-monitor	speaker	WLM	Diva Monitor	absent	URL	
boenicke-w5	speaker	Boenicke	W5	commented-todo	URL	
harbeth-p3esr	speaker	Harbeth	P3ESR	catalog-url	URL	https://harbeth.co.uk/wp-content/uploads/2024/11/P3ESR-XD2-cherry.png
harbeth-shl5-plus	speaker	Harbeth	Super HL5 Plus	catalog-url	URL	https://www.harbeth.co.uk/images/SHL5plus-XD-Cherry-Front.jpg
devore-orangutan-o96	speaker	DeVore	Orangutan O/96	catalog-url	URL	https://devorefidelity.com/wp-content/uploads/2021/05/O96-new-crop-766x1024.jpg
zu-dirty-weekend	speaker	Zu	Dirty Weekend	absent		
klipsch-heresy-iv	speaker	Klipsch	Heresy IV	catalog-url	URL	https://assets.klipsch.com/product-images/Heresy-IV-Walnut-pair.png
focal-kanta-no2	speaker	Focal	Kanta No. 2	commented-todo	URL	
focal-aria-906	speaker	Focal	Aria 906	absent	URL	
devore-orangutan-o93	speaker	DeVore Fidelity	Orangutan O/93	catalog-url	URL	https://devorefidelity.com/wp-content/uploads/2021/05/O93new-682x1024.jpg
cube-audio-nendo	speaker	Cube Audio	Nenuphar Mini (Nendo)	absent		
qualio-iq	speaker	Qualio Audio	IQ	absent	URL	
hornshoppe-horns	speaker	Hornshoppe	Horns	absent	URL	
ocellia-calliope	speaker	Ocellia	Calliope .21	absent		
devore-gibbon-3xl	speaker	DeVore Fidelity	Gibbon 3XL	catalog-url		https://devorefidelity.com/wp-content/uploads/2021/05/gX-768x1024.jpg
kef-r3	speaker	KEF	R3	catalog-url	URL	https://us.kef.com/cdn/shop/files/r3-meta_sp4053b1_product__front-side_1200x1200.png?v=1773978064
spendor-a1	speaker	Spendor	A1	absent	URL	
wharfedale-linton	speaker	Wharfedale	Linton Heritage	absent	URL	
totem-model-1-signature	speaker	Totem Acoustic	Model 1 Signature	absent		
xsa-vanguard	speaker	XSA	Vanguard	absent	URL	
boenicke-w8	speaker	Boenicke	W8	absent	URL	
devore-orangutan-obaby	speaker	DeVore Fidelity	Orangutan O/Baby	catalog-url		https://devorefidelity.com/wp-content/uploads/2022/04/devore-o-baby3.jpg
magnepan-lrs-plus	speaker	Magnepan	LRS+	absent	URL	
magnepan-point-7	speaker	Magnepan	.7	absent	URL	
falcon-ls3-5a	speaker	Falcon	LS3/5a	absent	URL	
mission-770	speaker	Mission	770	absent	URL	
mission-ms-50-8vet	speaker	Mission	MS 50 8VET	absent	URL	
amphion-argon3s	speaker	Amphion	Argon3S	absent	URL	
jbl-l100-classic	speaker	JBL	L100 Classic	absent	URL	
altec-model-19	speaker	Altec	Model 19	absent	URL	
devore-orangutan-o92	speaker	DeVore Fidelity	Orangutan O/92	catalog-url		https://devorefidelity.com/wp-content/uploads/2021/05/O96-new-crop-766x1024.jpg
wilson-audio-sabrina-x	speaker	Wilson Audio	Sabrina X	absent	URL	
magico-a3	speaker	Magico	A3	absent	URL	
magnepan-1-7i	speaker	Magnepan	1.7i	absent	URL	
soundkaos-vox-3a	speaker	sound|kaos	Vox 3a	absent	URL	
kef-ls60-wireless	speaker	KEF	LS60 Wireless	catalog-url	URL	https://us.kef.com/cdn/shop/files/pdt-ls60w-stn-pks-040_1200x1200.png?v=1762147000
kef-lsx-ii	speaker	KEF	LSX II	catalog-url		https://us.kef.com/cdn/shop/files/pdt-lsx2-stn-pks001_1200x1200.png?v=1765260120
mission-ms-50	speaker	Mission	MS-50	absent	URL	
decware-se84ufo	amplifier	Decware	SE84UFO	commented-todo	URL	
ampsandsound-stereo-17	amplifier	ampsandsound	Stereo 17	absent	URL	
linear-tube-audio-z10	amplifier	Linear Tube Audio	Z10	commented-todo		
linear-tube-audio-z40-plus	amplifier	Linear Tube Audio	Z40+	absent	URL	
leben-cs300	amplifier	Leben	CS300	commented-todo	URL	
leben-cs600x	amplifier	Leben	CS600X	commented-todo	URL	
aurorasound-hfsa-01	amplifier	Aurorasound	HFSA-01	absent	URL	
rogue-audio-cronus-magnum-iii	amplifier	Rogue Audio	Cronus Magnum III	absent	URL	
primaluna-evo-300	amplifier	PrimaLuna	EVO 300 Integrated	absent	URL	
cayin-a88t-mk2	amplifier	Cayin	A-88T MK2	absent	URL	
line-magnetic-lm211ia	amplifier	Line Magnetic	LM-211IA	absent	URL	
scott-222b	amplifier	Scott	222B / 222C	absent	URL	
schiit-aegir	amplifier	Schiit	Aegir	commented-todo	URL	
first-watt-sit-3	amplifier	First Watt	SIT-3	absent	URL	
hegel-h190	amplifier	Hegel	H190	catalog-url	URL	https://www.hegel.com/images/products/h190v/H190vFront.jpg
job-integrated	amplifier	JOB	Integrated	absent	URL	
goldmund-job-225	amplifier	Goldmund / JOB	225	absent	URL	
crayon-cia-1t	amplifier	Crayon Audio	CIA-1T	absent	URL	
trends-ta-10	amplifier	Trends Audio	TA-10	absent		
hegel-rost	amplifier	Hegel	Rost	catalog-url	URL	https://www.hegel.com/images/products/discontinued/Rost.jpg
marantz-2220b	amplifier	Marantz	2220B	absent	URL	
kinki-studio-ex-m1-plus	amplifier	Kinki Studio	EX-M1+	absent	URL	
kinki-studio-ex-m1	amplifier	Kinki Studio	EX-M1	absent	URL	
kinki-studio-dazzle	amplifier	Kinki Studio	Dazzle	absent	URL	
enleum-amp-23r	amplifier	Enleum	AMP-23R	absent	URL	
grandinote-shinai	amplifier	Grandinote	Shinai	absent	URL	
goldmund-telos-590	amplifier	Goldmund	Telos 590 NextGen II	absent	URL	
soulution-330	amplifier	Soulution	330	absent	URL	
dartzeel-cth-8550	amplifier	darTZeel	CTH-8550	absent	URL	
vinnie-rossi-l2i-se	amplifier	Vinnie Rossi	L2i-SE	absent	URL	
shindo-cortese	amplifier	Shindo	Cortese	absent	URL	
ayre-vx-5-twenty	amplifier	Ayre	VX-5 Twenty	absent	URL	
boulder-866	amplifier	Boulder	866	absent	URL	
primare-i35	amplifier	Primare	i35	absent	URL	
electrocompaniet-eci-6	amplifier	Electrocompaniet	ECI 6	absent	URL	
naim-nait-xs-3	amplifier	Naim	Nait XS 3	commented-todo	URL	
naim-supernait-3	amplifier	Naim	SuperNait 3	commented-todo	URL	
quad-va-one-plus	amplifier	Quad	VA-One+	absent	URL	
rotel-a11-tribute	amplifier	Rotel	A11 Tribute	absent	URL	
mcintosh-ma252	amplifier	McIntosh	MA252	catalog-url	URL	https://www.mcintoshlabs.com/-/media/images/mcintoshlabs/products/productimages/ma252/ma252-front.jpg
mcintosh-ma12000	amplifier	McIntosh	MA12000	catalog-url	URL	https://www.mcintoshlabs.com/-/media/images/mcintoshlabs/products/productimages/ma12000/ma12000-front.jpg
cambridge-audio-cxa81	amplifier	Cambridge Audio	CXA81	absent	URL	
audiolab-6000a	amplifier	Audiolab	6000A	absent	URL	
nad-c-316bee-v2	amplifier	NAD	C 316BEE V2	absent	URL	
nad-c-3050	amplifier	NAD	C 3050	absent	URL	
bottlehead-crack	amplifier	Bottlehead	Crack	absent	URL	
yamamoto-a-08s	amplifier	Yamamoto	A-08S	absent	URL	
goldmund-telos-390	amplifier	Goldmund	Telos 390	absent		
goldmund-telos-690	amplifier	Goldmund	Telos 690	absent	URL	
accuphase-e-280	amplifier	Accuphase	E-280	absent	URL	
accuphase-e-4000	amplifier	Accuphase	E-4000	absent	URL	
singxer-sa-90	amplifier	Singxer	SA-90	absent	URL	
linnenberg-liszt	amplifier	LinnenberG	Liszt	absent	URL	
agd-productions-vivace	amplifier	AGD Productions	Vivace	absent	URL	
benchmark-ahb2	amplifier	Benchmark	AHB2	absent	URL	
wiim-amp	amplifier	WiiM	AMP	absent	URL	
wiim-amp-ultra	amplifier	WiiM	AMP Ultra	absent	URL	
hegel-h390	amplifier	Hegel	H390	catalog-url	URL	https://www.hegel.com/images/products/discontinued/H390.jpg
rega-planar-3	turntable	Rega	Planar 3	catalog-url	URL	https://www.rega.co.uk/wp-content/uploads/2021/03/Planar-3-Black.jpg
technics-sl-1500c	turntable	Technics	SL-1500C	absent	URL	
pro-ject-debut-pro	turntable	Pro-Ject	Debut PRO	absent	URL	
vpi-cliffwood	turntable	VPI	Cliffwood	absent	URL	
linn-lp12-majik	turntable	Linn	LP12 Majik	absent	URL	
thorens-td-1600	turntable	Thorens	TD 1600	absent	URL	